NDC,DRUG NAME,RANK,PKG SIZE,"TOTAL
ORDERED-O","TOTAL
BILLED-B","TOTAL
SHORTAGE-S","HIGHEST
SHORTAGE-S",AMOUNT,COST,"BILLED
CVS CAREMARK-B","SHORTAGE
CVS CAREMARK-S","BILLED
EXPRESS SCRIPTS-B","SHORTAGE
EXPRESS SCRIPTS-S","BILLED
HORIZON HEALTH-B","SHORTAGE
HORIZON HEALTH-S","BILLED
NJ MEDICAID-B","SHORTAGE
NJ MEDICAID-S","BILLED
SS&C (FORMERLY HUMANA, ARGUS, AND DST)-B","SHORTAGE
SS&C (FORMERLY HUMANA, ARGUS, AND DST)-S","BILLED
CASH-B","SHORTAGE
CASH-S","ORDERED
SMITH DRUGS-O","ORDERED
KINRAY-O","ORDERED
LEGACY HEALTH-O","ORDERED
ALPINE HEALTH-O","ORDERED
AKRON GENERICS-O"
68382-0660-10,SPIRONOLACTONE (U) 25MG,41,1000,0,0.03,-0.03,,1,1.24,0.03,-0.03,,,,,,,,,,,,,,,
68180-0980-03,LISINOPRIL (U) 10MG TAB,42,1000,0,0.09,-0.09,,1,1.18,0.09,-0.09,,,,,,,,,,,,,,,
72888-0012-05,CYCLOBENZAPRINE 5MG TAB,43,500,0,0.06,-0.06,,1,1.1,,,0.06,-0.06,,,,,,,,,,,,,
65862-0203-99,LOSARTAN 100MG TAB,44,1000,0,0.03,-0.03,,1,1.09,,,0.03,-0.03,,,,,,,,,,,,,
43547-0275-09,DONEPEZIL (U) 5MG TAB,45,90,0,0.67,-0.67,-0.67,1,1.01,,,0.67,-0.67,,,,,,,,,,,,,
69238-1311-09,PREGABALIN 50MG CAP,46,90,0,0.67,-0.67,-0.67,0,0.94,,,0.67,-0.67,,,,,,,,,,,,,
16103-0361-11,CALCIUM | VITD,47,1000,0,0.09,-0.09,,0,0.9,,,0.09,-0.09,,,,,,,,,,,,,
68180-0513-03,LISINOPRIL (U) 5MG TAB,48,1000,0,0.03,-0.03,,0,0.42,,,0.03,-0.03,,,,,,,,,,,,,
57896-0921-01,ASPIRIN 325MG TAB,49,100,0,0.3,-0.3,,0,0.42,0.3,-0.3,,,,,,,,,,,,,,,
75834-0257-01,ATORVASTATIN 40MG TAB,50,1000,0,0.03,-0.03,,0,0.34,0.03,-0.03,,,,,,,,,,,,,,,
67877-0242-01,QUETIAPINE FUMARATE (U) 25MG,51,100,0,0.3,-0.3,,0,0.26,,,0.3,-0.3,,,,,,,,,,,,,
00904-7591-80,FERROUS SULFATE (U) 325MG,52,1000,0,0.03,-0.03,,0,0.15,,,0.03,-0.03,,,,,,,,,,,,,
80681-0040-00,MELATONIN (U) 5 MG TABLET,53,60,0,0.5,-0.5,,0,0,,,,,,,,,,,,,,,,,
72578-0100-92,LEVOFLOXACIN 750MG TAB,54,20,0,0.5,-0.5,-0.5,0,0,,,0.5,-0.5,,,,,,,,,,,,,
